NUM_ROWS,SST_NAME,DATA_SIZE,ENTRY_MERGES,ENTRY_OTHERS,INDEX_NUMBER,COLUMN_FAMILY,ENTRY_DELETES,ENTRY_SINGLEDELETES,DISTINCT_KEYS_PREFIX
240,000057.sst,50640,0,0,602,0,0,0,260
185,000057.sst,38480,0,0,603,0,0,0,130
570,000057.sst,11400,0,0,604,0,0,0,620
2777,000057.sst,5397898,0,0,605,0,0,0,2980
1,000057.sst,1280,0,0,610,0,0,0,10
5,000053.sst,1726,0,0,256,0,0,0,10
5,000053.sst,125,0,0,257,0,0,0,10
6,000053.sst,235,0,0,258,0,0,0,10
5433,000053.sst,184740,0,0,263,0,0,0,"20,5600"
5433,000053.sst,108660,0,0,264,0,0,0,"920,5680"
5433,000053.sst,162990,0,0,265,0,0,0,"10,5390,5390"
5433,000053.sst,92361,0,0,266,0,0,0,"5470,5470"
5433,000053.sst,108660,0,0,267,0,0,0,"10,5090"
5433,000053.sst,211869,0,0,268,0,0,0,"4780,5400"
5433,000053.sst,5968640,0,0,269,0,0,0,5700
1,000053.sst,91,0,0,282,0,0,0,0
1753,000053.sst,43825,0,0,283,0,0,0,"20,1790"
1753,000053.sst,1452118,0,0,284,0,0,0,1540
24444,000053.sst,488880,0,0,285,0,0,0,"8510,24180"
24444,000053.sst,1361466,0,0,286,0,0,0,"1310,24490"
24444,000053.sst,4434973,0,0,287,0,0,0,24980
2655,000053.sst,174375,0,0,288,0,0,0,"2360,2430"
2655,000053.sst,193257,0,0,289,0,0,0,"100,130,2660,2840,2840"
2655,000053.sst,53100,0,0,290,0,0,0,"840,2650"
2655,000053.sst,53100,0,0,291,0,0,0,"20,2850"
2655,000053.sst,14791456,0,0,292,0,0,0,2930
109,000053.sst,91246,0,0,293,0,0,0,110
47,000053.sst,14237,0,0,294,0,0,0,30
8,000053.sst,71680,0,0,299,0,0,0,0
24,000053.sst,668166,0,0,301,0,0,0,40
8,000053.sst,1678,0,0,303,0,0,0,20
1790,000053.sst,42960,0,0,305,0,0,0,"1800,2170"
1790,000053.sst,35800,0,0,306,0,0,0,"700,1660"
417,000053.sst,16662,0,0,307,0,0,0,"100,430"
417,000053.sst,24496,0,0,308,0,0,0,340
503,000053.sst,23441,0,0,309,0,0,0,450
503,000053.sst,10060,0,0,310,0,0,0,"420,450"
503,000053.sst,27941,0,0,311,0,0,0,"100,490"
417,000053.sst,17541,0,0,312,0,0,0,"340,340"
417,000053.sst,17073,0,0,313,0,0,0,"460,460"
417,000053.sst,23162,0,0,314,0,0,0,330
1,000053.sst,80,0,0,315,0,0,0,0
1,000053.sst,20,0,0,316,0,0,0,"0,0"
1,000053.sst,85,0,0,317,0,0,0,"0,0"
1184,000053.sst,64250,0,0,318,0,0,0,"1080,1100"
1184,000053.sst,64106,0,0,319,0,0,0,"1110,1120"
1184,000053.sst,100867,0,0,320,0,0,0,"1200,1220"
1184,000053.sst,178072,0,0,321,0,0,0,1290
45,000053.sst,6493,0,0,322,0,0,0,80
45,000053.sst,900,0,0,323,0,0,0,"0,0"
